",""MSW3sp"",""Site"",""Plot"",""PD"",""DR"",""HR"",""ov"",""GS"",""FS"",""miner"",""Status"",""mass"",""rain"",""multi1"",""multi2"""
"1,""Allocebus trichotis"",""Analamazaotra Special reserve, nr Andasibe village"",NA,18,NA,16,30,4,NA,""fiona"",""A"",78.09,1700,FALSE,TRUE"
"2,""Allocebus trichotis"",""Analamazaotra Special reserve, nr Andasibe village"",NA,18,NA,35.5,15,11,NA,""fiona"",""A"",78.09,1700,FALSE,TRUE"
"3,""Alouatta caraya"",""El Pi¤alito Provincial Park"",NA,112.514285714286,0.3995,17.32,37.92,6,30.3333333333333,""fiona"",""A"",5576.96,1952,TRUE,TRUE"
"4,""Alouatta caraya"",""El Pi¤alito Provincial Park"",NA,112.514285714286,0.3995,111.91,5.87,13,30.3333333333333,""fiona"",""A"",5576.96,1952,TRUE,TRUE"
"5,""Alouatta guariba"",""El Pi¤alito Provincial Park"",NA,34.3978823529412,0.558,31.22,0,4,18.8785714285714,""fiona"",""A"",5188.33,1952,TRUE,TRUE"
"6,""Alouatta guariba"",""El Pi¤alito Provincial Park"",NA,34.3978823529412,0.558,70.32,0,8,18.8785714285714,""fiona"",""A"",5188.33,1952,TRUE,TRUE"
"7,""Alouatta guariba"",""Santa Genebra (SP)"",""(Santa Genebra)"",148,0.467,4.13,33.3,6,10,""nick"",""A"",5188.33,1360,TRUE,TRUE"
"8,""Alouatta palliata"",""Barqueta"",""Hacienda Barqueta"",1040,0.272,4.85,94,18.9,35.452,""nick"",""A"",6576.99,2469,TRUE,TRUE"
"9,""Alouatta palliata"",""Barro Colorado"",NA,70.8623953488372,0.287947368421053,31,100,15.0332692307692,35.452,""fiona"",""A"",6576.99,2623,TRUE,TRUE"
"10,""Alouatta palliata"",""Barro Colorado Island"",""(BCI)"",100.9,0.284,11.3,62.5,14.7,44.32,""nick"",""A"",6576.99,2728,TRUE,TRUE"
"11,""Alouatta palliata"",""Barro Colorado Island"",""(BCI)"",50.5116666666667,0.2,18.5,0,16.5,44.32,""nick"",""A"",6576.99,2728,TRUE,TRUE"
"12,""Alouatta palliata"",""Barro Colorado Island"",""year 1971"",1029,0.295888888888889,4.9,94,16.7286666666667,44.9428571428571,""fiona"",""A"",6576.99,2728,TRUE,TRUE"
"13,""Alouatta pigra"",""Barro Colorado Island"",""year 1932"",49.4,0.472666666666667,86,5,17.3,36.7877777777778,""fiona"",""A"",7172.06,2728,TRUE,TRUE"
"14,""Alouatta pigra"",""Palenque National Park"",NA,23,0.472666666666667,5.3875,0,6,36.7877777777778,""fiona"",""A"",7172.06,2696,TRUE,TRUE"
"15,""Alouatta pigra"",""Palenque National Park"",NA,23,0.472666666666667,5.3875,0,6,36.7877777777778,""fiona"",""A"",7172.06,2696,TRUE,TRUE"
"16,""Alouatta seniculus"",""Hato Masaguaral"",""(Hato Masaguaral)"",128.948275862069,0.379,5.55,52.8,8.17034482758621,47.5333333333333,""nick"",""A"",6398.31,1450,TRUE,TRUE"
"17,""Alouatta seniculus"",""Ot£n Quimbaya"",NA,72.6,0.63875,10.2,20.9,8,47.5333333333333,""fiona"",""A"",6398.31,2712,TRUE,TRUE"
"18,""Ateles belzebuth"",""La Macarena"",""Laguna el Tigre"",13.5,4,323,25,23.5,83,""nick"",""A"",6692.42,2674,TRUE,TRUE"
"19,""Ateles belzebuth"",""Yasuni National Park"",""Proyecto Primates Research Area"",7.575,2.7125,149.4,80,1,83,""fiona"",""A"",6692.42,3200,TRUE,TRUE"
"20,""Ateles belzebuth"",""Yasuni National Park"",""Proyecto Primates Research Area"",7.575,2.7125,152.3,85,1,83,""fiona"",""A"",6692.42,3200,TRUE,TRUE"
"21,""Ateles chamek"",""Manu"",""Cocha Cashu"",24.9475,2.1885,153,16,40,77.5,""nick"",""A"",7053.92,2080,TRUE,TRUE"
"22,""Ateles chamek"",""Manu"",""Cocha Cashu"",24.9475,2.1885,231,10,37,77.5,""nick"",""A"",7053.92,2080,TRUE,TRUE"
"23,""Ateles paniscus"",""Central Suriname Nature Preserve"",""beneath Volzberg dome"",8.2,2.7,255,0,18,82.9,""nick"",""A"",8697.25,2300,TRUE,TRUE"
"24,""Brachyteles hypoxanthus"",""Fazenda Montes Claros (MG)"",""Estacao Biologica de Caratinga"",5.2,1.283,168,46,35.4230769230769,28,""nick"",""A"",10537.31,1120,TRUE,TRUE"
"25,""Brachyteles hypoxanthus"",""Fazenda Montes Claros (MG)"",""Estacao Biologica de Caratinga"",5.2,1.313,309,41,62.5,28,""nick"",""A"",10537.31,1120,TRUE,TRUE"
"26,""Bunopithecus hoolock"",""Hollongapar (Assam)"",""(Hollongapar)"",20,1.04133333333333,22,23,3.43,67,""nick"",""A"",6699,3890,TRUE,TRUE"
"27,""Bunopithecus hoolock"",""West Bhanugach"",""Lawachara"",9.34,1.157,35,9,3,82.2,""nick"",""A"",6699,2000,TRUE,TRUE"
"28,""Bunopithecus hoolock"",""West Bhanugach"",""Lawachara"",9.34,1.367,66.5,21.4,2.85714285714286,82.2,""nick"",""A"",6699,2000,TRUE,TRUE"
"29,""Callicebus melanochir"",""Lemos Maia (Bahia)"",""ESMAI"",17,1.01,23.3,12.9,3,76.6,""nick"",""A"",1034.31076923077,2037,TRUE,TRUE"
"30,""Callicebus melanochir"",""Lemos Maia (Bahia)"",""ESMAI"",17,1.01,24.3,12.3,3,76.6,""nick"",""A"",1034.31076923077,2037,TRUE,TRUE"
"31,""Callicebus ornatus"",""Barbascal"",""Socay forest"",407,0.5675,0.4352,6,3.11,NA,""nick"",""A"",1034.31076923077,2650,TRUE,TRUE"
"32,""Callicebus ornatus"",""Finca la Macarena"",""(Finca La Macarena)"",57,0.5675,3.66,1.55,3,NA,""nick"",""A"",1034.31076923077,NA,FALSE,FALSE"
"33,""Callicebus ornatus"",""Finca la Macarena"",""*Troop C"",57,0.5675,4.18,18,3.065,70,""fiona"",""A"",988,2000,TRUE,TRUE"
"34,""Callicebus ornatus"",""Finca la Macarena"",""*Troop Cr"",57,0.5675,3.5,1.4,3.065,70,""fiona"",""A"",988,2000,TRUE,TRUE"
"35,""Callicebus ornatus"",""Finca la Macarena"",""*Troop T"",57,0.5675,3.29,16.6,3.065,70,""fiona"",""A"",988,2000,TRUE,TRUE"
"36,""Callicebus personatus"",""Linhares (ES)"",""(Linhares)"",10.075,1,10.7,20,3.97,56,""nick"",""A"",1390.8,1051,TRUE,TRUE"
"37,""Callicebus personatus"",""Linhares (ES)"",""(Linhares)"",10.075,1,12.3,20,3.97,56,""nick"",""A"",1390.8,1051,TRUE,TRUE"
"38,""Callithrix aurita"",""Cunha Nucleus (SP)"",""Serro do Mar"",30,0.9588,35.3,15,8.5,81.5,""nick"",""A"",386.2,2000,TRUE,TRUE"
"39,""Callithrix flaviceps"",""Fazenda Montes Claros (MG)"",""Estacao Biologica de Caratinga"",40,1.2225,35.5,80,13,80.12,""nick"",""A"",372.97,1120,TRUE,TRUE"
"40,""Callithrix intermedia"",""Rio Aripuana (MT)"",""right bank, opposite Dardanelos"",54.1,1.459,28.25,22,10,86.4,""nick"",""A"",345.224166666667,2082,TRUE,TRUE"
"41,""Callithrix jacchus"",""Nisia Floresta (Rio Grande del Norte)"",""EFLEX-IBAMA"",804.833333333333,0.912,5.2,46,7,48.05,""nick"",""A"",290.21,1229,TRUE,TRUE"
"42,""Callithrix jacchus"",""Nisia Floresta (Rio Grande del Norte)"",""EFLEX-IBAMA"",804.833333333333,1.181,4.6,72,13,48.05,""nick"",""A"",290.21,1229,TRUE,TRUE"
"43,""Callithrix jacchus"",""Nisia Floresta (Rio Grande del Norte)"",""EFLEX-IBAMA"",804.833333333333,1.243,3.9,86,12,48.05,""nick"",""A"",290.21,1229,TRUE,TRUE"
"44,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",588,0.5655,2.24,14,8,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"45,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",663,0.606,2.08,15,8,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"46,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",679,0.978,3.52,18,11,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"47,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",700,0.15,0.85,31,10.5,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"48,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",804.833333333333,0.5655,2.5,0,9.63636363636364,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"49,""Callithrix jacchus"",""Tapacura (Pernambuco)"",""Tapacura field station"",804.833333333333,0.5655,6.5,0,9.63636363636364,48.05,""nick"",""A"",290.21,1117,TRUE,TRUE"
"50,""Callithrix kuhlii"",""Lemos Maia (Bahia)"",""CEPEC"",46,0.975,13,50,5,86.1,""nick"",""A"",374.99,2037,TRUE,TRUE"
"51,""Callithrix pygmaea"",""Rio Maniti"",""R. Maniti & Hatun Quabrada"",51.5,0.29,0.35,0,5.63,77,""nick"",""A"",123.94,2830,TRUE,TRUE"
"52,""Cebus albifrons"",""Manu"",""Cocha Cashu"",35,1.82,150,3.5,8.5,34.85,""nick"",""A"",2509.68,2080,TRUE,TRUE"
"53,""Cebus albifrons"",""Manu"",""Cocha Cashu"",29.5,1.82,150,71,8.5,34.85,""nick"",""A"",2509.68,2080,TRUE,TRUE"
"54,""Cebus apella"",""Manu"",""Cocha Cashu"",40,2.07,82.5,3.2,10.7222222222222,24,""nick"",""A"",2758.38,2080,TRUE,TRUE"
"55,""Cebus apella"",""Manu"",""Cocha Cashu"",38,2.07,80,69,10.7222222222222,24,""nick"",""A"",2758.38,2080,TRUE,TRUE"
"56,""Cebus nigritus"",""Iguazu National Park"",""(Iguazu)"",16,NA,161,43.3,14.6,NA,""nick"",""A"",2812.338,1950,FALSE,TRUE"
"57,""Cebus olivaceus"",""Hato Masaguaral"",""(Hato Masaguaral)"",13.126,2.3,275,100,19.5,50.75,""nick"",""A"",2787.64,1450,TRUE,TRUE"
"58,""Cercopithecus albogularis"",""Cape Vidal"",""(Cape Vidal)"",196,NA,18,16.7,28,52.4,""nick"",""A"",4049.44055555556,1037,FALSE,TRUE"
"59,""Cercopithecus cephus"",""Makokou"",""(Makokou)"",25.5,1.295,52,56,15,79,""nick"",""A"",3444.88,1645,TRUE,TRUE"
"60,""Cercopithecus cephus"",""Makokou"",""(Makokou)"",25.5,1.98,119,24,15,79,""nick"",""A"",3444.88,1645,TRUE,TRUE"
"61,""Cercopithecus diana"",""Tai"",""(Tai)"",52.5,1.236,83,41,25,76.3,""nick"",""A"",4358.91,1830,TRUE,TRUE"
"62,""Cercopithecus diana"",""Tai"",""(Tai)"",70.5,1.236,77,38,25,76.3,""nick"",""A"",4358.91,1830,TRUE,TRUE"
"63,""Cercopithecus mitis"",""Kakamega"",""."",176.7,1.136,15.25,66,14,57,""nick"",""A"",5041.29,2040,TRUE,TRUE"
"64,""Cercopithecus mitis"",""Kakamega"",""."",176.7,1.136,23,45,34,57,""nick"",""A"",5041.29,2040,TRUE,TRUE"
"65,""Cercopithecus mitis"",""Kakamega"",""Isecheno"",176.7,1.136,38,53,43,57,""nick"",""A"",5041.29,2040,TRUE,TRUE"
"66,""Cercopithecus mitis"",""Kibale"",""Kanyawara (K14)"",52.2,1.216,36.44,5,18,21.7,""nick"",""A"",5041.29,1570,TRUE,TRUE"
"67,""Cercopithecus mitis"",""Kibale"",""Ngogo"",6.67,1.406,325,1,23,30.1,""nick"",""A"",5041.29,1570,TRUE,TRUE"
"68,""Cercopithecus neglectus"",""Kisere Forest"",""Isiukhu"",220,0.31,5,5,11,47,""nick"",""A"",5324.52,2215,TRUE,TRUE"
"69,""Cercopithecus neglectus"",""Kisere Forest"",""Isiukhu"",320,0.31,4.1,14,13,47,""nick"",""A"",5324.52,2215,TRUE,TRUE"
"70,""Cercopithecus neglectus"",""Makokou"",""Ile aux Chimpanzes"",35,0.53,5.33,13.6,3.67,74.38,""nick"",""A"",5324.52,1645,TRUE,TRUE"
"71,""Cercopithecus neglectus"",""Makokou"",""M'Passa Plateau"",45,0.53,8.5,21.9,4,74.38,""nick"",""A"",5324.52,1659,TRUE,TRUE"
"72,""Cheirogaleus major"",""Mandena forest"",""QMM Station"",NA,NA,5.5,5.9,2,65,""fiona"",""A"",446.02,1680,FALSE,FALSE"
"73,""Cheirogaleus major"",""Mandena forest"",""QMM Station"",NA,NA,7,4.6,5,65,""fiona"",""A"",446.02,1680,FALSE,FALSE"
"74,""Cheirogaleus major"",""Mandena forest"",NA,NA,NA,4.4,3,NA,65,""fiona"",""A"",446.02,1680,FALSE,FALSE"
"75,""Cheirogaleus medius"",""Mandena forest"",NA,261.6,NA,1.6,3,3,65,""fiona"",""A"",196.76,1680,FALSE,TRUE"
"76,""Chlorocebus djamdjamensis"",""Odobullu Forest"",""Robe Field Station"",NA,NA,12.3,4.1,48,NA,""fiona"",""ST"",3000,797,FALSE,FALSE"
"77,""Chlorocebus djamdjamensis"",""Odobullu Forest"",""Robe Field Station"",NA,NA,18.1,2.8,58,NA,""fiona"",""ST"",3000,796,FALSE,FALSE"
"78,""Chlorocebus pygerythrus"",""Amboseli"",""(Amboseli)"",62.2525,0.456,5.2,31.9,11,NA,""nick"",""ST"",3695.99,300,TRUE,TRUE"
"79,""Chlorocebus pygerythrus"",""Amboseli"",""(Amboseli)"",62.2525,0.456,12.8,57.4,16,NA,""nick"",""ST"",3695.99,300,TRUE,TRUE"
"80,""Chlorocebus pygerythrus"",""Amboseli"",""(Amboseli)"",62.2525,0.456,13.4,9.9,8,NA,""nick"",""ST"",3695.99,300,TRUE,TRUE"
"81,""Chlorocebus pygerythrus"",""Amboseli"",""(Amboseli)"",62.2525,0.456,15.8,34.5,11,NA,""nick"",""ST"",3695.99,300,TRUE,TRUE"
"82,""Chlorocebus pygerythrus"",""Amboseli"",""(Amboseli)"",62.2525,0.456,16.7,4,10.5,NA,""nick"",""ST"",3695.99,300,TRUE,TRUE"
"83,""Chlorocebus pygerythrus"",""Amboseli"",""(Amboseli)"",62.2525,0.456,24.9,8,11,NA,""nick"",""ST"",3695.99,300,TRUE,TRUE"
"84,""Chlorocebus pygerythrus"",""Amboseli"",NA,62.2525,0.456,38,34,17.7307692307692,NA,""fiona"",""ST"",3560,300,TRUE,TRUE"
"85,""Chlorocebus sabaeus"",""Niokolo-Koba"",""Mt. Assirik"",14.3,NA,178.4,9.6,25.5,63,""nick"",""ST"",3695.99,1045,FALSE,TRUE"
"86,""Chlorocebus tantalus"",""Bakossiland"",""near Nayassoso"",112.6,1.6035,11.5,0,11,57.2,""nick"",""ST"",3695.99,3952.5,TRUE,TRUE"
"87,""Chlorocebus tantalus"",""Bakossiland"",""near Nayassoso"",112.6,1.6035,15.25,0,18,57.2,""nick"",""ST"",3695.99,3952.5,TRUE,TRUE"
"88,""Chlorocebus tantalus"",""Buffle Noir"",""(Buffle Noir)"",18,2.268,102.5,5.6,18,26.8,""nick"",""ST"",3695.99,1450,TRUE,TRUE"
"89,""Chlorocebus tantalus"",""Kalamaloue"",""(Kalamaloue)"",149,0.939,56.25,18.2,76,67.3333333333333,""nick"",""ST"",3695.99,650,TRUE,TRUE"
"90,""Colobus guereza"",""Kakamega"",""Isecheno"",147.15,0.45,20.25,61,11,38.55,""nick"",""A"",9925.88,2040,TRUE,TRUE"
"91,""Colobus guereza"",""Kakamega"",""Isecheno"",147.15,0.564,12.75,49,15,38.55,""nick"",""A"",9925.88,2040,TRUE,TRUE"
"92,""Colobus guereza"",""Kakamega"",""Isecheno"",147.15,0.565,12,73,10,38.55,""nick"",""A"",9925.88,2040,TRUE,TRUE"
"93,""Colobus guereza"",""Kakamega"",""Isecheno"",147.15,0.625,16,83,7,38.55,""nick"",""A"",9925.88,2040,TRUE,TRUE"
"94,""Colobus guereza"",""Kakamega"",""Isecheno"",147.15,0.734,17.25,69,21,38.55,""nick"",""A"",9925.88,2040,TRUE,TRUE"
"95,""Colobus guereza"",""Kibale"",""Kanyawara"",41.6408333333333,0.535,19.7,83,8.31363636363636,6.32222222222222,""fiona"",""A"",9925.88,1570,TRUE,TRUE"
"96,""Colobus guereza"",""Kibale"",""Kanyawara (K14)"",36.525,0.535,8.4,42,6,9.6,""nick"",""A"",9925.88,1570,TRUE,TRUE"
"97,""Colobus guereza"",""Kibale"",""Kanyawara (K14)"",36.525,0.535,12.5,28,9,0,""nick"",""A"",9925.88,1570,TRUE,TRUE"
"98,""Colobus guereza"",""Kibale"",NA,41.6408333333333,0.535,15,74,9,5.16666666666667,""fiona"",""A"",9925.88,1570,TRUE,TRUE"
"99,""Colobus guereza"",""Queen Elizabeth"",""Kyambura Gorge"",347,0.54275,3.7,80,7.95833333333333,16.2538461538462,""nick"",""A"",9925.88,900,TRUE,TRUE"
"100,""Colobus polykomos"",""Tiwai"",""East study area"",52,0.832,24.5,4,12.5,36,""nick"",""A"",8797.29,2708,TRUE,TRUE"
"101,""Colobus satanas"",""Foret des Abeilles"",""Makande"",5.85,0.73,573,65,18,50.95,""nick"",""A"",9055.32,1755,TRUE,TRUE"
"102,""Colobus satanas"",""Foret des Abeilles"",""Makande"",6.575,0.608,224,70,11,50.95,""nick"",""A"",9055.32,1755,TRUE,TRUE"
"103,""Colobus satanas"",""Foret des Abeilles"",""Makande"",6.575,0.852,573,65,17.5,52,""nick"",""A"",9055.32,1755,TRUE,TRUE"
"104,""Daubentonia madagascariensis"",""Nosy Mangabe"",""(Nosy Mangabe)"",NA,1.551,126,75,1,47.6,""nick"",""A"",2731.37,3806,FALSE,FALSE"
"105,""Daubentonia madagascariensis"",""Nosy Mangabe"",""(Nosy Mangabe)"",NA,2.256,214,40,1,47.6,""nick"",""A"",2731.37,3806,FALSE,FALSE"
"106,""Eulemur macaco"",""Ankafara"",""SIRNP"",200,NA,5.12,95,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"107,""Eulemur macaco"",""Ankafara"",""SIRNP"",200,NA,6.02,100,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"108,""Eulemur macaco"",""Ankafara"",""SIRNP"",200,NA,8.78,100,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"109,""Eulemur macaco"",""Ankafara"",""SIRNP"",200,NA,25.21,50,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"110,""Eulemur macaco"",""Sahamalaza (UN BR): Ankarafa forest"",NA,200,NA,3.8,90,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"111,""Eulemur macaco"",""Sahamalaza (UN BR): Ankarafa forest"",NA,200,NA,6.3,50,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"112,""Eulemur macaco"",""Sahamalaza (UN BR): Ankarafa forest"",NA,200,NA,9.7,35,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"113,""Eulemur macaco"",""Sahamalaza (UN BR): Ankarafa forest"",NA,200,NA,19.6,15,10.6,22,""fiona"",""A"",2470.43,1824,FALSE,TRUE"
"114,""Gorilla beringei"",""Vulcans (Virunga volcanoes)"",""Karisoke"",1.374,0.485,2080,55,14.5,1.7,""nick"",""T"",149325.19,1750,TRUE,TRUE"
"115,""Gorilla beringei"",""Vulcans (Virunga volcanoes)"",""Karisoke"",1.374,0.485,2430,47,26,1.7,""nick"",""T"",149325.19,1750,TRUE,TRUE"
"116,""Gorilla gorilla"",""Mt Alen (Rio Muni)"",""Abuminzok-Aninzok"",0.58,0.9,550,0,6.4,54.72,""nick"",""T"",112588.99,2800,TRUE,TRUE"
"117,""Gorilla gorilla"",""Mt Alen (Rio Muni)"",""Monte Alen region"",0.86,1.13,675,0,7.13,54.72,""nick"",""T"",112588.99,2800,TRUE,TRUE"
"118,""Hapalemur aureus"",""Ranomafana"",""Talatakely"",NA,0.4,26,10,3.75,4,""nick"",""A"",1562.41,2489,FALSE,FALSE"
"119,""Hapalemur griseus"",""Ranomafana"",""Talatakely"",38.625,NA,15,7,5.5,5,""nick"",""A"",916,2489,FALSE,TRUE"
"120,""Hylobates agilis"",""Gunung Bubu Forest Reserve"",""Sungai Dal"",190,1.26,29,24,4,57.5,""fiona"",""A"",5829.08,4000,TRUE,TRUE"
"121,""Hylobates albibarbis"",""Sabanga"",""NLPSF"",10.38,NA,53,15,4.3,NA,""fiona"",""A"",5300,2912,FALSE,TRUE"
"122,""Hylobates klossii"",""Siberut (Mentawai Islands)"",""Paitan river"",10.5,1.508,34.5,0,3.67,72,""nick"",""A"",5822.29,4217,TRUE,TRUE"
"123,""Hylobates klossii"",""Siberut (Mentawai Islands)"",""Paitan river"",10.5,1.508,31,0,3,72,""nick"",""A"",5822.29,4217,TRUE,TRUE"
"124,""Hylobates klossii"",""Siberut (Mentawai Islands)"",""Teitei Peleigei"",30,1.508,11,0,4.1,72,""nick"",""A"",5822.29,4217,TRUE,TRUE"
"125,""Hylobates lar"",""Khao Yai"",""(Khao Yai)"",30.4,1.54666666666667,21.5,15.6,4.83333333333333,64.1,""nick"",""A"",5578.61,1500,TRUE,TRUE"
"126,""Hylobates lar"",""Khao Yai"",""(Khao Yai)"",30.4,1.54666666666667,24.5,35.7,4.83333333333333,64.1,""nick"",""A"",5578.61,1500,TRUE,TRUE"
"127,""Hylobates lar"",""Khao Yai"",""(Khao Yai)"",30.4,1.54666666666667,26.5,16.4,4.83333333333333,64.1,""nick"",""A"",5578.61,1500,TRUE,TRUE"
"128,""Hylobates lar"",""Krau"",""Kuala Lompat"",6.1,1.85,53,1,3.5,56.85,""nick"",""A"",5578.61,2000,TRUE,TRUE"
"129,""Hylobates lar"",""Sungai Tekam"",""C13C, after logging"",14.8,1.54666666666667,11,14,3.5,60,""nick"",""A"",5578.61,2572,TRUE,TRUE"
"130,""Hylobates lar"",""Sungai Tekam"",""C13C, after logging"",14.8,1.54666666666667,15,8,3.5,60,""nick"",""A"",5578.61,2572,TRUE,TRUE"
"131,""Hylobates lar"",""Sungai Tekam"",""C13C, before logging"",8.6,1.54666666666667,17,28,3.5,77,""nick"",""A"",5578.61,2572,TRUE,TRUE"
"132,""Hylobates lar"",""Sungai Tekam"",""C13C, before logging"",8.6,1.54666666666667,19,21,3.5,77,""nick"",""A"",5578.61,2572,TRUE,TRUE"
"133,""Hylobates lar"",""Tanjong Triang"",""(Tanjong Triang)"",9.826875,1.54666666666667,39,14,4,64.1,""nick"",""A"",5578.61,NA,FALSE,FALSE"
"134,""Hylobates pileatus"",""Khao Ang Rue Nai Wildlife Sanctuary"",NA,29.6,0.8315,55.7,26.4,3,60,""fiona"",""A"",5542.37,1600,TRUE,TRUE"
"135,""Indri indri"",""Betampona"",""(Betampona)"",13.2,0.5,27,6.6,3.17,8.90833333333333,""nick"",""A"",8565.48,4129,TRUE,TRUE"
"136,""Lagothrix lagotricha"",""Caparú"",""Estacion Biologica Caparú"",6.6,2.28,748,95,24,NA,""nick"",""A"",6263.69,3836,TRUE,TRUE"
"137,""Lagothrix lagotricha"",""Tinigua NP"",""(Tinigua)"",6.62,1.64,662,100,31.125,60,""fiona"",""A"",6263.69,2622,TRUE,TRUE"
"138,""Lagothrix lugens"",""Tinigua NP"",""(Tinigua)"",30,2.1375,169,100,22.9,16.625,""nick"",""A"",6263.69,2622,TRUE,TRUE"
"139,""Lagothrix poeppigii"",""Yasuni"",""km 47 (De Fiore site)"",14.8428571428571,1.792,124,45,24.5,76.3,""nick"",""A"",6263.69,3250,TRUE,TRUE"
"140,""Lagothrix poeppigii"",""Yasuni"",""km 47 (De Fiore site)"",14.8428571428571,1.878,124,47,24.5,76.3,""nick"",""A"",6263.69,3250,TRUE,TRUE"
"141,""Lagothrix poeppigii"",""Yasuni"",""km 47 (De Fiore site)"",14.8428571428571,1.835,105,71,18,76.3,""nick"",""A"",6263.69,3250,TRUE,TRUE"
